Time_Id,Year,Quarter,Is_Covid_Period
1,2018,Q1,0
2,2018,Q2,0
3,2018,Q3,0
4,2018,Q4,0
5,2019,Q1,0
6,2019,Q2,0
7,2019,Q3,0
8,2019,Q4,0
9,2020,Q1,1
10,2020,Q2,1
11,2020,Q3,1
12,2020,Q4,1
13,2021,Q1,1
14,2021,Q2,1
15,2021,Q3,1
16,2021,Q4,1
17,2022,Q1,0
18,2022,Q2,0
19,2022,Q3,0
20,2022,Q4,0
21,2023,Q1,0
22,2023,Q2,0
23,2023,Q3,0
24,2023,Q4,0
25,2024,Q1,0
26,2024,Q2,0
27,2024,Q3,0
28,2024,Q4,0
29,2025,Q1,0
30,2025,Q2,0
31,2025,Q3,0
32,2025,Q4,0
